name,kegg,cls,fc,logfc,pval,mean_natto,mean_soy,direction,model_id,model_name,compartment,ex_lb,ex_ub,pathways_s2,constraint_type
N-Acetyl-L-histidine,C02997,Carboxylic acids and derivatives,1455.3357,10.5071,0.022032,0.179663,0.000123,natto_up,M_cpd00119_e,L-Histidine_C6H9N3O2,Extracellular,5.2536,1000.0,ABC transporters - Glycine max (soybean) | Aminoacyl-tRNA biosynthesis - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Histidine metabolism - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | beta-Alanine metabolism - Glycine max (soybean),secretion
"Guanosine 3',5'-cyclic monophosphate",C00942,Nucleotide and its derivates,287.3774,8.1668,0.02884,0.008377,2.9e-05,natto_up,M_cpd02740_c,Guanosine_3'-diphosphate 5'-triphosphate_C10H13N5O20P5,Cytosol,4.0834,1000.0,,secretion
D-Xylulose,C00310,Carbohydrates,220.4675,7.7844,0.044336,0.030778,0.00014,natto_up,M_cpd00259_c,D-Xylulose_C5H10O5,Cytosol,3.8922,1000.0,Metabolic pathways - Glycine max (soybean),secretion
7-Methylguanine,C02242,Imidazopyrimidines,165.1878,7.368,0.034794,0.05609,0.00034,natto_up,M_cpd00207_e,Guanine_C5H5N5O,Extracellular,3.684,1000.0,,secretion
L-Lysine;L-Glutamine,C00047;C00064,Amino acid and derivatives;amino acids,118.2028,6.8851,0.016548,1.435423,0.012144,natto_up,M_cpd00039_e,L-Lysine_C6H15N2O2,Extracellular,3.4426,1000.0,"2-Oxocarboxylic acid metabolism - Glycine max (soybean) | ABC transporters - Glycine max (soybean) | Aminoacyl-tRNA biosynthesis - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Biotin metabolism - Glycine max (soybean) | Lysine biosynthesis - Glycine max (soybean) | Lysine degradation - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Tropane, piperidine and pyridine alkaloid biosynthesis - Glycine max (soybean)",secretion
Adenine,C00147,Nucleotide and its derivates,118.0367,6.8831,0.036755,0.043219,0.000366,natto_up,M_cpd00128_e,Adenine_C5H5N5,Extracellular,3.4415,1000.0,Metabolic pathways - Glycine max (soybean) | Purine metabolism - Glycine max (soybean) | Zeatin biosynthesis - Glycine max (soybean),secretion
L-Ornithine,C01602;C00077,Amino acid and derivatives;amino acids,97.7059,6.6104,0.025043,0.152505,0.001561,natto_up,M_cpd00064_e,L-Ornithine_C5H13N2O2,Extracellular,3.3052,1000.0,2-Oxocarboxylic acid metabolism - Glycine max (soybean) | ABC transporters - Glycine max (soybean) | Arginine and proline metabolism - Glycine max (soybean) | Arginine biosynthesis - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Biosynthesis of secondary metabolites - other antibiotics - Glycine max (soybean) | Biosynthesis of secondary metabolites - unclassified - Glycine max (soybean) | Glutathione metabolism - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean),secretion
N-Acetylarylamine,C07565,Benzene and substituted derivatives,91.2165,6.5112,0.042835,0.053904,0.000591,natto_up,M_cpd00196_c,Acetyl_phosphate_C2H4O5P,Cytosol,3.2556,1000.0,,secretion
(S)-2-Acetolactate,C06010,Keto acids and derivatives,82.303,6.3629,0.025097,0.033506,0.000407,natto_up,M_cpd00668_c,2-Acetolactate_C5H7O4,Cytosol,3.1814,1000.0,"2-Oxocarboxylic acid metabolism - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Butanoate metabolism - Glycine max (soybean) | C5-Branched dibasic acid metabolism - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Pantothenate and CoA biosynthesis - Glycine max (soybean) | Valine, leucine and isoleucine biosynthesis - Glycine max (soybean)",secretion
N6-Acetyl-L-lysine,C02727,Amino acid and derivatives,82.0102,6.3577,0.02246,0.23375,0.00285,natto_up,M_cpd00039_e,L-Lysine_C6H15N2O2,Extracellular,3.1789,1000.0,"2-Oxocarboxylic acid metabolism - Glycine max (soybean) | ABC transporters - Glycine max (soybean) | Aminoacyl-tRNA biosynthesis - Glycine max (soybean) | Biosynthesis of amino acids - Glycine max (soybean) | Biosynthesis of secondary metabolites - Glycine max (soybean) | Biotin metabolism - Glycine max (soybean) | Lysine biosynthesis - Glycine max (soybean) | Lysine degradation - Glycine max (soybean) | Metabolic pathways - Glycine max (soybean) | Tropane, piperidine and pyridine alkaloid biosynthesis - Glycine max (soybean)",secretion
