name,cas,kegg,formula,exact_mass,cls,q1,q3,ionmode,rt,mean_natto,mean_soy,vip,pval,qval,fc,logfc,direction,fc_abs
Benzocaine,94-09-7,C07527,C9H11NO2,165.078979,Benzene and substituted derivatives,166.1,120.0,+,3.04835,7.76231355286609,0.001117356977193,1.41900296163319,0.01837356656187,0.0629412119726078,6947.030994845,12.7621808187297,natto_up,6947.030994845
Strictosidine,20824-29-7,C03470,C27H34N2O9,530.22643300000004,Alkaloids,531.2,513.2,+,0.78905,0.00447139159410512,1.20603013225416e-06,1.42209647482441,0.013260985580613,0.0574399991077896,3707.52892031624,11.8562422310262,natto_up,3707.52892031624
Lecanoric acid,480-56-8,C02868,C16H14O7,318.07395500000001,Phenols,317.1,167.0,-,0.657066666667,0.000482443440034461,1.20603013225416e-06,1.41975054964502,0.0342107739602413,0.0724138013418506,400.026025164677,8.6439500526613,natto_up,400.026025164677
Turanose,547-25-1,C19636,C12H22O11,342.11621500000001,Fatty Acyls,365.1,203.1,+,0.78905,0.00151524904346054,0.210082317489791,1.41582104648814,0.014163611333238,0.0582871386007155,0.00721264436515069,-7.11525599425889,soy_up,138.64540512099788
Lactulose,4618-18-2,C07064,C12H22O11,342.11621500000001,Organooxygen compounds,365.1,203.1,+,0.772266666667,0.00151524904346054,0.210082317489791,1.41582104648814,0.014163611333238,0.0582871386007155,0.00721264436515069,-7.11525599425889,soy_up,138.64540512099788
D-Glutamine,5959-95-5,C00819,C5H10N2O3,146.069143,Carboxylic acids and derivatives,147.1,84.0,+,0.6584833333335,1.43542288586217,0.0121437248613829,1.41857587189872,0.0165480930956927,0.0610989803502061,118.202849804908,6.88512100828379,natto_up,118.202849804908
4-Hydroxybenzaldehyde,123-08-0,C00633,C7H6O2,122.03677999999999,Phenols,123.0,77.0,+,1.90510833333,0.948876865205389,0.00881680788085647,1.41347029033143,0.0387227576580128,0.07402758798025,107.62136115789,6.74982064850518,natto_up,107.62136115789
6-Aminocaproic acid,60-32-2,C02378,C6H13NO2,131.094629,Fatty Acyls,132.1,41.0,+,1.8374,0.411227644499157,0.00404408451542159,1.40184441940094,0.0485000618597359,0.0779698147757013,101.686214254671,6.66798029399939,natto_up,101.686214254671
Beta-Elemonic acid,28282-25-9,,C30H46O3,454.344695,Triterpenoids,455.4,409.3,+,4.67891666667,0.000122381109417404,1.20603013225416e-06,1.41585637481111,0.0396438308849408,0.0743273277938852,101.474338115139,6.66497111959973,natto_up,101.474338115139
5-Aminovaleric acid,660-88-8,C00431,C5H11NO2,117.078979,Amino acid and derivatives,118.1,55.1,+,1.10791666667,0.426322320370429,0.00475891812261767,1.4176366229819,0.0151934942561603,0.0595352765824232,89.5838737683363,6.48516714716642,natto_up,89.5838737683363
5-(3-Pyridyl)-2-hydroxytetrahydrofuran,53798-73-5,C19578,C9H11NO2,165.078979,Pyridines and derivatives,166.1,104.0,+,2.803,0.00755982797242225,0.00010761788823566,1.39036862811766,0.0186579092704378,0.0632044870391285,70.2469458968366,6.13436359801069,natto_up,70.2469458968366
L-Norleucine,327-57-1,C01933,C6H13NO2,131.094629,Amino acid and derivatives,132.1,86.1,+,1.8128,0.227754406858524,0.00332616516770502,1.40921168681092,0.00430847590055026,0.0389719292062688,68.4735710270423,6.09747534857142,natto_up,68.4735710270423
cis-Aconitic acid,499-12-7;585-84-2,C00417,C6H6O6,174.01643999999999,Organic acids and derivatives,175.0,69.0,+,1.4555,0.00331492255942035,0.182575193726837,1.41346655291614,0.00895811026878723,0.0517689879037979,0.01815647838983,-5.78337178352315,soy_up,55.07675985008914
Glucoiberin,554-88-1,C08411,C11H21NO10S3,423.03276199999999,Organooxygen compounds,424.0,149.0,+,10.4652666667,0.00163209248131637,3.50527040507349e-05,1.39060045151459,0.00863170962863808,0.0511801190375597,46.5611006487287,5.54105325712184,natto_up,46.5611006487287
Practolol,6673-35-4,C11696,C14H22N2O3,266.16304300000002,Benzene and substituted derivatives,267.2,56.1,+,2.73586666667,0.000757273785976266,1.63599997796214e-05,1.416434905384,0.0320327214212951,0.0715120725774417,46.2881293506833,5.53257035483787,natto_up,46.2881293506833
trans-Zeatin-riboside,6025-53-2,C16431,C15H21N5O5,351.15429999999998,phytohormone,352.0,220.0,+,4.31,0.00253175185593823,5.91222449061719e-05,1.39205578420742,0.0140356999913038,0.0581722704630566,42.8223227984013,5.4202911484073,natto_up,42.8223227984013
Itaconic acid,97-65-4,C00490,C5H6O4,130.02661000000001,Fatty Acyls,131.0,85.0,+,0.520516666667,0.0391713098962206,0.00104546043594557,1.40992246609544,0.0340349486515421,0.0723444932708515,37.4679983569078,5.2275870018926,natto_up,37.4679983569078
Genistin,529-59-9,,21H20O10,432.10564699999998,flavonoids,433.3,270.8,+,6.62,0.0609775712748645,0.00167147864072025,1.37963124507829,0.0257532839773656,0.0682898869785871,36.48121476957,5.18908186476435,natto_up,36.48121476957
"Pyrogallol;1,2,3-Trihydroxybenzene",87-66-1,C01108,C6H6O3,126.031695,Phenols,127.0,81.0,+,3.52465,0.0102019025909585,0.00028572608683009,1.41457970263044,0.0323219015800756,0.0716374330813778,35.7051843048031,5.15806166011682,natto_up,35.7051843048031
Diallyl disulfide,2179-57-9,C08369,C6H10S2,146.022392,Miscellaneous,147.0,41.0,+,0.678083333333,0.00926584038721681,0.000260666322632089,1.40131238052275,0.031142095164947,0.0711142827925433,35.5467491682646,5.15164572299448,natto_up,35.5467491682646
trans-Zeatin,1637-39-4,C00371,C10H13N5O,219.11199999999999,phytohormone,220.0,136.0,+,3.41,0.00161842034257945,4.75415421942018e-05,1.41688631250927,0.0115678888624962,0.0555846278017193,34.0422348094723,5.08925384526938,natto_up,34.0422348094723
Tetrahymanol,2130-17-8,C06083,C31H54O,442.41746499999999,Triterpenoids,443.4,425.4,+,10.5734666667,0.00200396672880613,6.05883148128297e-05,1.34744239073105,0.0217381671900997,0.0657215733684641,33.0751356098418,5.047675166531,natto_up,33.0751356098418
L-Pipecolic acid,535-75-1;3105-95-1,C00408,C6H11NO2,129.078979,Amino acid and derivatives,130.1,84.1,+,0.68835,0.796522161450783,0.0256797979558632,1.41605458747539,0.0215351919692809,0.0655724855996238,31.0174621630511,4.95500874533097,natto_up,31.0174621630511
Pyrrolidonecarboxylic acid,4042-36-8,C02237,C5H7NO3,129.04259400000001,Carboxylic acids and derivatives,130.0,84.0,+,0.671566666667,0.796522161450783,0.0260912799919754,1.4163180146039,0.0215617783436824,0.0655921345913332,30.5282899764121,4.93207487501038,natto_up,30.5282899764121
Resokaempferol,2034-65-3,C10037,C15H10O5,270.05282499999998,Flavonoids,271.1,105.0,+,8.79448333333,0.0026600651464053,9.45711723036168e-05,1.30319594673952,0.0261950172149868,0.0685344072646128,28.1276532965592,4.81391728782996,natto_up,28.1276532965592
L-Malic acid,97-67-6,C00149,C4H6O5,134.021525,Hydroxy acids and derivatives,157.0,110.1,+,1.37645,0.000701570975745255,2.61921384185861e-05,1.36364624955889,0.000163969361957084,0.0227687080600513,26.7855554416059,4.74338330785893,natto_up,26.7855554416059
D-Proline,344-25-2,C00763,C5H9NO2,115.063329,Carboxylic acids and derivatives,116.1,70.1,+,0.755483333333,0.955154785010067,0.0367650327636213,1.41851074210731,0.00574871360066488,0.0442519275133114,25.9799791598495,4.69932836839857,natto_up,25.9799791598495
"NG,NG-Dimethylarginine dihydrochloride",220805-22-1;30315-93-6,C03626,C8H18N4O2,202.142976,Carboxylic acids and derivatives,203.2,70.1,+,0.7442,0.108018502600119,0.00420489762460378,1.39895926618547,0.0311403034016338,0.0711134641727534,25.6887354327199,4.68306396800475,natto_up,25.6887354327199
Taxifolin,480-18-2,C01617,C15H12O7,304.05829999999997,flavonoids,304.8,286.8,+,6.28,0.0166903036106117,0.000670491630725009,1.410613716931,0.0228619966601757,0.0665102536034314,24.8926352631193,4.63764706445031,natto_up,24.8926352631193
Spectinomycin,1695-77-8,C02078,C14H24N2O7,332.15835299999998,Dioxanes,333.2,98.1,+,2.23746666667,0.000797353434325213,3.39659070950543e-05,1.38224596444142,0.0313970313540766,0.0712299947976668,23.4751108543577,4.55306006548865,natto_up,23.4751108543577
Cytisine,485-35-8,C10763,C11H14N2O,190.110613,Alkaloids,191.1,44.1,+,1.21823458,0.000588691931855886,2.50975876827459e-05,1.39169736105287,0.0453178752407756,0.0759459700505179,23.4561161533704,4.55189224763426,natto_up,23.4561161533704
Crotonoside,1818-71-9,C08432,C10H13N5O5,283.09167000000002,Alkaloids,284.1,152.1,+,2.39745,0.341299017618456,0.0152747957200688,1.39828292687598,0.0465566745966134,0.0767304827587914,22.3439333574877,4.48181127067455,natto_up,22.3439333574877
Aminomalonic acid,1068-84-4,C00872,C3H5NO4,119.02185900000001,Organic acids,120.0,74.0,+,0.654783333333,0.00803328761397917,0.000399230245734341,1.40214741507251,0.0330394191264745,0.0719408097329139,20.1219414105332,4.33069760123495,natto_up,20.1219414105332
Benzaldehyde,100-52-7,C00261,C7H6O,106.041865,Phenols,107.0,79.0,+,2.81978333333,0.0454691741114736,0.00239282426849253,1.41597683116418,0.0220094721647639,0.0659175821336353,19.0023039761792,4.24810244678522,natto_up,19.0023039761792
1-Cinnamoylpyrrolidine,52438-21-8,,C13H15NO,201.115364,Alkaloids,202.1,72.1,+,7.06585,0.00103414628095566,5.45446007716131e-05,1.38468144599431,0.0400990883215213,0.0744712521048716,18.9596452504216,4.2448600654397,natto_up,18.9596452504216
Uplandicine,74202-10-1,C10412,C17H27NO7,357.17875400000003,Alkaloids,358.2,298.2,+,3.47205,0.000122086160265513,7.14131742351273e-06,1.24158457740475,0.0317800964844914,0.0714010593351878,17.0957476086339,4.09556560907048,natto_up,17.0957476086339
Cordycepin,73-03-0,C08431,C10H13N5O3,251.10184000000001,Nucleotide and its derivates,252.1,136.1,+,2.34785,0.0062515670068584,0.000374245355735601,1.36099725359956,0.0370618167261403,0.0734617997804548,16.7044611537545,4.06216154039506,natto_up,16.7044611537545
2-Picolinic acid,14639-25-9;98-98-6,C10164,C6H5NO2,123.03202899999999,Organic acids,124.0,78.0,+,1.3261,0.0448009272070311,0.00271936996153423,1.38667185664178,0.040067883809605,0.0744614739519988,16.474745194933,4.04218424698871,natto_up,16.474745194933
Genistein,446-72-0,C06563,C15H10O5,270.05279999999999,flavonoids,271.2,242.8,+,8.93,0.0346716336956399,0.00211426916327172,1.41084168258895,0.0291707446672391,0.0701656169083909,16.3988740402321,4.03552485653932,natto_up,16.3988740402321
DL-Norvaline,6600-40-4,C01826,C5H11NO2,117.078979,Amino acid and derivatives,118.1,72.1,+,1.05125,0.156729010932002,0.010350831497027,1.39413816265383,0.0450753410377919,0.0758838447444407,15.1416831562777,3.92045367975166,natto_up,15.1416831562777
Imperatorin,482-44-0,C09269,C16H14O4,270.08920999999998,Phenylpropanoids,271.1,203.0,+,8.89468333333,0.0017966072947261,0.000121608233450822,1.0786525858527,0.00276981587587216,0.0312902568600126,14.7737307231968,3.88496228227767,natto_up,14.7737307231968
Lucidin,478-08-0,C10369,C15H10O5,270.05282499999998,Anthraquinones,271.1,253.1,+,8.89468333333,0.0497045437499377,0.00356109270973494,1.407434868002,0.034811806829433,0.0726464003195521,13.9576663123824,3.80298584152106,natto_up,13.9576663123824
Hydroxypropanedioic acid,80-69-3,C02287,C3H4O5,120.005875,Carboxylic acids and derivatives,121.0,103.0,+,2.76943333333,0.0559738273371067,0.00440125663770621,1.4122169591558,0.0237887747464714,0.0671172037919434,12.7176922285265,3.66876499565727,natto_up,12.7176922285265
