reaction,baseline_flux,cfba_flux,delta_flux,abs_delta
EX_cpd00001_e,0.0,0.0,0.0,0.0
EX_cpd00007_e,-1850.6182766299264,-7905.400810609585,-6054.782533979659,6054.782533979659
EX_cpd00009_e,10000.0,10000.0,0.0,0.0
EX_cpd00011_e,10000.0,10000.0,0.0,0.0
EX_cpd00012_e,10000.0,10000.0,0.0,0.0
EX_cpd00013_e,10000.0,10000.0,0.0,0.0
EX_cpd00018_e,-1125.9133542977547,-8876.773273168003,-7750.859918870248,7750.859918870248
EX_cpd00020_e,0.0,0.0,0.0,0.0
EX_cpd00023_e,-8848.40403338107,-10000.0,-1151.59596661893,1151.59596661893
EX_cpd00024_e,-10000.0,-10000.0,0.0,0.0
EX_cpd00027_e,-10000.0,-10000.0,0.0,0.0
EX_cpd00028_e,0.0,0.0,0.0,0.0
EX_cpd00029_e,10000.0,10000.0,0.0,0.0
EX_cpd00030_e,0.0,0.0,0.0,0.0
EX_cpd00033_e,10000.0,10000.0,0.0,0.0
EX_cpd00034_e,0.0,0.0,0.0,0.0
EX_cpd00035_e,9123.573449495712,0.0,-9123.573449495712,9123.573449495712
EX_cpd00036_e,10000.0,10000.0,0.0,0.0
EX_cpd00039_e,-399.90717779273956,0.0,399.90717779273956,399.90717779273956
EX_cpd00040_e,1541.9349601715014,7275.692540785879,5733.757580614378,5733.757580614378
EX_cpd00041_e,10000.0,10000.0,0.0,0.0
EX_cpd00046_e,-9329.854017464388,-9380.625049277889,-50.771031813501395,50.771031813501395
EX_cpd00047_e,1648.899332327264,9421.888431458983,7772.989099131719,7772.989099131719
EX_cpd00048_e,0.0,0.0,0.0,0.0
EX_cpd00051_e,-10000.0,-10000.0,0.0,0.0
EX_cpd00053_e,10000.0,10000.0,0.0,0.0
EX_cpd00054_e,-10000.0,0.0,10000.0,10000.0
EX_cpd00058_e,0.0,0.0,0.0,0.0
EX_cpd00060_e,0.0,0.0,0.0,0.0
EX_cpd00061_e,4041.814261556935,10000.0,5958.185738443065,5958.185738443065
EX_cpd00063_e,-3.668067559945122,-3.390170535067919,0.2778970248772028,0.2778970248772028
EX_cpd00064_e,-10000.0,0.0,10000.0,10000.0
EX_cpd00065_e,-66.79439127850829,0.0,66.79439127850829,66.79439127850829
EX_cpd00067_e,-10000.0,-10000.0,0.0,0.0
