,minimum,maximum,range
rxn01355,0.0,0.0,0.0
rxn05357,0.0,38.5916513369901,38.5916513369901
rxn00225,-10000.0,10000.0,20000.0
rxn05313,-10000.0,10000.0,20000.0
rxn01674,-10000.0,10000.0,20000.0
rxn05572,0.0,10000.0,10000.0
rxn01199,-10000.000000000031,10000.0,20000.00000000003
rxn10215,18.952708212493427,21.058564680548276,2.1058564680548493
rxn01451,-10000.0,10000.0,20000.0
rxn00785,-10000.000000000005,10000.0,20000.000000000007
rxn05092,0.0,0.0,0.0
rxn00802,-9999.999999999984,3436.5948458600737,13436.594845860058
rxn03638,0.0,6718.297422929951,6718.297422929951
rxn10318,0.07273017063308516,0.07983811258969631,0.007107941956611144
rxn05323,0.0,38.59165133699866,38.59165133699866
rxn03084,0.0,1679.5743557325034,1679.5743557325034
rxn05722,-10000.0,1.8189894035458565e-12,10000.000000000002
rxn10195,1.8529246977449962,2.058805219716662,0.20588052197166595
rxn03887,0.0,10000.0,10000.0
rxn00868,0.0,52.836815770945584,52.836815770945584
rxn00011,0.0,10000.0,10000.0
rxn02222,0.0,0.0,0.0
rxn00292,-376.31597749230104,6379.613043186976,6755.9290206792775
rxn05147,0.0,10000.0,10000.0
rxn01675,0.0,0.0,0.0
rxn05252,0.0,0.0,0.0
rxn05691,0.0,0.0,0.0
rxn00016,0.0,0.0,0.0
rxn05676,-10000.0,10000.0,20000.0
rxn05466,-10000.0,10000.0,20000.0
rxn05398,59.60770755047151,66.23078616719056,6.623078616719049
rxn00196,0.0,10000.0,10000.0
rxn08707,0.0,0.0,0.0
rxn05173,0.0,10000.0,10000.0
rxn01367,0.0,6880.902314075168,6880.902314075168
rxn05536,0.0,0.0,0.0
rxn05155,0.0,10000.0,10000.0
rxn10252,0.31506560664375177,0.3500728962708352,0.03500728962708344
rxn04092,0.0,10000.0,10000.0
rxn00708,0.0,10000.0,10000.0
rxn01513,23.421361934791502,26.02373548310016,2.602373548308659
rxn02476,0.0,3359.148711465013,3359.148711465013
rxn02112,-10000.0,0.0,10000.0
rxn09012,0.0,0.0,0.0
rxn05333,0.0,38.59165133699864,38.59165133699864
rxn01870,-10000.0,10000.0,20000.0
rxn05626,0.0,10000.0,10000.0
rxn01387,0.0,10000.0,10000.0
rxn01575,0.0,9999.99999999998,9999.99999999998
rxn01945,0.0,0.0,0.0
rxn09206,1.4116929229337611,1.5685476921486232,0.15685476921486208
rxn02342,-10000.000000000022,9055.8485709183,19055.848570918322
rxn01737,-10000.0,10000.0,20000.0
rxn00781,-2666.6666666666833,10000.0,12666.666666666682
rxn01133,0.0,0.0,0.0
rxn00973,-10000.0,10000.0,20000.0
rxn05544,0.0,0.0,0.0
rxn05630,-10000.0,9999.999999999996,19999.999999999996
rxn05391,0.0,66.23078616719064,66.23078616719064
rxn03061,-10000.000000000164,0.0,10000.000000000164
rxn02916,0.0,0.0,0.0
rxn05549,0.0,6718.297422930009,6718.297422930009
rxn05181,0.0,10000.0,10000.0
rxn05330,0.0,38.5916513369782,38.5916513369782
rxn01985,0.0,0.0,0.0
rxn03910,1.072342875803444,1.1914920842058634,0.1191492084024195
rxn02522,0.0,10000.0,10000.0
rxn00775,0.0,0.0,0.0
rxn00364,557.4374556498592,10000.0,9442.562544350141
rxn05483,-10000.0,10000.0,20000.0
rxn05616,0.0,10000.0,10000.0
rxn01444,-10000.0,10000.0,20000.0
rxn00816,0.0,0.0,0.0
rxn01259,0.0,0.0,0.0
rxn00515,-10000.0,10000.0,20000.0
rxn10243,0.0,10000.0,10000.0
rxn02011,103.8830307027825,115.42558966975868,11.542558966976173
rxn00702,0.0,0.0,0.0
rxn05577,-10000.0,10000.0,20000.0
rxn08471,0.0,10000.000000000002,10000.000000000002
rxn00369,-10000.0,10000.0,20000.0
rxn05699,0.0,0.0,0.0
rxn02212,0.0,3359.148711465206,3359.148711465206
rxn05408,12.75703983965511,14.174488710727937,1.4174488710728266
rxn10227,9.810332977656422,10.900369975173811,1.0900369975173891
rxn05486,-10000.0,10000.0,20000.0
rxn00917,0.0,10000.0,10000.0
rxn05502,-10000.0,0.0,10000.0
rxn09113,0.7173592214826563,0.7970658016473968,0.07970658016474053
rxn02160,83.55705016659631,2770.876019338588,2687.3189691719917
rxn02339,0.0,0.0,0.0
rxn10295,0.9316240454629604,1.035137828292179,0.10351378282921864
rxn04821,0.0,0.0,0.0
rxn10304,0.1352613263163405,0.15029036257371167,0.015029036257371176
rxn02495,0.0,0.0,0.0
rxn01044,-10000.0,10000.0,20000.0
rxn05557,0.0,3.6469488532754197,3.6469488532754197
rxn00883,0.0,0.0,0.0
rxn01923,0.0,0.0,0.0
rxn01218,0.0,6718.297422930038,6718.297422930038
rxn00248,-10000.0,10000.0,20000.0
rxn01297,0.0,10000.0,10000.0
rxn05239,0.0,4678.819286445122,4678.819286445122
rxn05734,0.0,10000.0,10000.0
rxn01302,-10000.0,10000.0,20000.0
rxn10283,2.341575673161385,2.6017507479570967,0.26017507479571167
rxn00373,0.0,10000.0,10000.0
rxn05422,12.757039839655112,14.174488710727914,1.4174488710728017
rxn00979,-4.295704596722662e-14,10000.0,10000.0
rxn10322,0.3843287340850502,0.4270319267611671,0.042703192676116886
rxn05448,0.0,14.174488710727907,14.174488710727907
rxn00048,0.0,3359.1487114650627,3359.1487114650627
rxn10233,9.810332977656422,10.900369975173795,1.0900369975173732
rxn07584,0.0,0.0,0.0
rxn05201,-10000.0,10000.0,20000.0
rxn05217,-10000.0,10000.0,20000.0
rxn03164,103.88303070278256,115.42558966975831,11.542558966975747
rxn00546,-10000.0,10000.0,20000.0
rxn05298,-10000.0,10000.0,20000.0
rxn03906,0.0,0.0,0.0
rxn00879,0.0,10000.000000000002,10000.000000000002
rxn01370,-10000.0,10000.0,20000.0
rxn02789,354.27973081632473,4853.013915286485,4498.7341844701605
rxn05194,0.0,0.0,0.0
rxn03483,0.0,0.0,0.0
rxn05383,59.6077075504715,66.23078616719067,6.6230786167191695
rxn01258,0.1531918394010762,0.17021315489008476,0.017021315489008565
rxn00830,-1.0212789293405096,0.17021315489008476,1.1914920842305943
rxn05229,0.0,1679.5743557325006,1679.5743557325006
rxn05646,-10000.0,10000.0,20000.0
rxn00321,0.0,0.0,0.0
rxn10042,-3436.594845859956,10000.0,13436.594845859956
rxn05505,-10000.0,0.0,10000.0
rxn09104,2.1082421116262537,2.342491235140284,0.23424912351403027
rxn00800,-1.834837331333787e-15,10000.0,10000.0
rxn01343,-10000.0,10000.000000000002,20000.0
rxn01520,0.0,9999.788443471092,9999.788443471092
rxn05415,12.757039839655112,14.174488710727912,1.4174488710728
rxn00189,0.0,10000.0,10000.0
rxn10011,9.317223065367547e-15,38.662327060220306,38.6623270602203
rxn10286,6.209147863633282,6.899053181814756,0.6899053181814736
rxn05441,0.0,66.23078616719054,66.23078616719054
rxn00322,0.0,0.0,0.0
rxn10342,0.021618491292284082,0.02402054588031564,0.002402054588031558
rxn01819,0.0,0.0,0.0
rxn10201,77.73639443467846,86.37377159408716,8.6373771594087
rxn05426,12.757039839655112,14.174488710727907,1.4174488710727946
rxn08297,-3.507828886733385,9996.84295400195,10000.350782888683
rxn00902,354.2797308163254,4853.013915286481,4498.734184470156
rxn08764,-9723.980688744623,10000.0,19723.980688744625
rxn03852,8.090492987183596,8.989436652426217,0.898943665242621
rxn00503,-10000.0,10000.0,20000.0
rxn10266,3.638918359881733,4.043242622090816,0.40432426220908324
rxn03909,1.0723428758075333,1.1914920842305927,0.11914920842305943
rxn09264,0.0,0.0,0.0
rxn05187,0.0,0.0,0.0
rxn04745,0.0,0.0,0.0
rxn05328,0.0,32.6671197756654,32.6671197756654
rxn02314,-10000.000000000002,9999.999999999984,19999.999999999985
rxn00179,0.0,9999.99999999999,9999.99999999999
rxn10230,19.22421034369598,21.36023371521776,2.1360233715217802
rxn02853,0.0,0.0,0.0
rxn05529,-10000.0,0.0,10000.0
rxn05566,-10000.0,10000.0,20000.0
rxn05307,-9999.999999999965,0.0,9999.999999999965
rxn03991,-10000.0,10000.0,20000.0
rxn05654,-10000.0,10000.0,20000.0
rxn02056,0.0,0.0,0.0
rxn01465,-3440.451157037596,0.0,3440.451157037596
rxn05364,111.59245988444734,123.99162209383013,12.399162209382794
rxn05372,111.59245988444734,123.99162209383034,12.399162209383007
rxn05553,-10000.000000000007,10000.0,20000.000000000007
rxn05470,-10000.0,10000.0,20000.0
rxn00863,83.55705016659633,2770.8760193386092,2687.318969172013
rxn09399,0.0,0.0,0.0
rxn00215,0.0,0.0,0.0
rxn10279,1.0644506679056067,1.182722964339562,0.11827229643395532
rxn09978,0.0,0.0,0.0
rxn00223,0.0,10000.0,10000.0
rxn00405,0.0,0.0,0.0
rxn00459,-10000.0,10000.0,20000.0
rxn10277,4.480290451406032,4.978100501562258,0.49781005015622615
rxn02949,0.0,0.0,0.0
rxn10259,1.5481202951666215,1.7201336612962461,0.1720133661296246
rxn10225,3.631859895267065,4.035399883630073,0.4035399883630082
rxn05031,0.0,0.0,0.0
rxn10217,21.740490789709867,24.156100877455415,2.4156100877455486
rxn01800,0.0,10000.0,10000.0
rxn01011,-10000.0,10000.0,20000.0
rxn09449,0.0,0.0,0.0
rxn02167,-1.184193771252877e-14,52.8368157709517,52.836815770951716
rxn00929,-10000.0,10000.0,20000.0
rxn05316,-10000.0,10000.0,20000.0
rxn08311,2.6475538952957223,2.9417265503285766,0.2941726550328543
rxn05419,12.757039839655112,14.174488710727907,1.4174488710727946
rxn10288,1.4693018101214124,1.6325575668015686,0.16325575668015624
rxn01504,0.0,66.23078616719054,66.23078616719054
rxn03975,0.0,10000.000000000002,10000.000000000002
rxn03436,-9723.980688744627,10000.0,19723.980688744625
rxn00423,0.0,6880.902314075298,6880.902314075298
rxn00818,-9999.999999999989,10000.0,19999.99999999999
rxn05430,10.202323410776954,11.335914900863079,1.1335914900861255
rxn03071,0.0,0.0,0.0
rxn01492,-10000.0,10000.0,20000.0
rxn10272,0.5478114810369564,0.6086794233743975,0.06086794233744108
rxn01101,-10000.0,10000.0,20000.0
rxn04036,0.0,0.0,0.0
rxn00615,0.0,10000.0,10000.0
rxn05474,-10000.0,10000.0,20000.0
rxn03248,0.0,38.66232706021997,38.66232706021997
rxn08307,1.9316872125862123,2.146319125095793,0.21463191250958058
rxn10193,1.852924697744996,2.058805219716664,0.20588052197166795
rxn05621,0.0,10000.000000000002,10000.000000000002
rxn05315,0.0,10000.0,10000.0
rxn05518,-10000.000000000002,10000.000000000002,20000.000000000004
rxn05341,-38.59165133699874,0.0,38.59165133699874
rxn05145,-10000.0,3436.5948458600906,13436.59484586009
rxn05477,-10000.0,9442.562544350129,19442.562544350127
rxn05727,0.0,0.0,0.0
rxn02201,0.0,10000.0,10000.0
rxn05717,-10000.0,9999.999999999998,20000.0
rxn10326,0.05390241590100604,0.05873632455132922,0.004833908650323175
rxn05412,0.0,14.174488710727934,14.174488710727934
rxn03690,0.0,0.0,0.0
rxn02988,0.0,6718.297422930035,6718.297422930035
rxn07307,0.0,0.0,0.0
rxn05460,7.485924609841896,8.317694010935474,0.8317694010935783
rxn10281,0.762363929676669,0.8470710329740765,0.0847071032974075
rxn00290,-10000.0,10000.0,20000.0
rxn10199,103.88303070278256,115.42558966975821,11.542558966975648
rxn05555,0.0,0.0,0.0
rxn05402,59.60770755047151,66.23078616719054,6.6230786167190345
rxn03241,0.0,38.662327060219944,38.662327060219944
rxn00742,0.0,10000.0,10000.0
rxn10316,0.20028004662150553,0.22253338513500565,0.022253338513500115
rxn02159,83.55705016659633,2770.8760193385697,2687.3189691719735
rxn01706,-10000.0,10000.0,20000.0
rxn11397,-10000.0,9999.999999999985,19999.999999999985
rxn09200,5.69574562022889,6.32860624469876,0.6328606244698696
rxn02937,0.0,1679.5743557324952,1679.5743557324952
rxn01573,0.0,10000.00000000002,10000.00000000002
rxn10241,0.0,10000.0,10000.0
rxn10067,0.0,0.0,0.0
rxn05507,-10000.0,0.0,10000.0
rxn00727,0.0,4642.828783491637,4642.828783491637
rxn03891,0.1531918394010762,0.1702131548896109,0.017021315488534694
rxn00212,0.0,10000.0,10000.0
rxn00649,0.0,6880.902314075173,6880.902314075173
rxn05603,0.0,10000.0,10000.0
rxn06076,17.77544943478381,9982.203275341539,9964.427825906754
rxn05413,12.75703983965511,14.174488710727804,1.4174488710726934
rxn01763,-9999.999999999996,10000.0,19999.999999999996
rxn02417,0.0,0.0,0.0
rxn05579,-10000.0,10000.000000000002,20000.0
rxn05348,2.5899548413216785e-14,38.59165133699887,38.591651336998844
rxn10299,0.016172279498190504,0.0179691994424339,0.0017969199442433963
rxn02914,-10000.0,10000.000000000007,20000.000000000007
rxn01300,5.378178156792742e-28,9563.468195008629,9563.468195008629
rxn00175,0.0,10000.0,10000.0
rxn01446,0.0,0.0,0.0
rxn04068,0.0,0.0,0.0
rxn05023,0.1531918394010762,0.1702131548900846,0.0170213154890084
rxn10247,0.5027989992035004,0.5586655546705556,0.05586655546705521
rxn05648,-10000.0,10000.0,20000.0
rxn05370,0.0,123.99162209383026,123.99162209383026
rxn10013,4.658611532683773e-15,38.662327060220036,38.66232706022003
rxn05346,4.202167513282766e-15,38.59165133699857,38.59165133699856
rxn05296,540.4725107800539,600.5250119778375,60.05250119778361
