,minimum,maximum,range,rxn_name
EX_cpd00681_e,0.0,0.0,0.0,EX_cpd00681_e
EX_cpd11589_e,0.0,0.0,0.0,EX_cpd11589_e
EX_cpd01415_e,0.0,0.0,0.0,EX_cpd01415_e
EX_cpd03724_e,0.0,0.0,0.0,EX_cpd03724_e
EX_cpd03424_e,0.0,0.0,0.0,EX_cpd03424_e
EX_cpd01132_e,0.0,0.0,0.0,EX_cpd01132_e
EX_cpd05158_e,0.0,0.0,0.0,EX_cpd05158_e
EX_cpd00244_e,0.0,0.0,0.0,EX_cpd00244_e
EX_cpd11582_e,0.0,0.0,0.0,EX_cpd11582_e
EX_cpd00210_e,0.0,0.0,0.0,EX_cpd00210_e
EX_cpd00034_e,0.0,0.0,0.0,EX_cpd00034_e
EX_cpd00149_e,0.0,0.0,0.0,EX_cpd00149_e
EX_cpd11583_e,0.0,0.0,0.0,EX_cpd11583_e
EX_cpd01991_e,0.0,0.0,0.0,EX_cpd01991_e
EX_cpd11596_e,0.0,0.0,0.0,EX_cpd11596_e
rxn01355,0.0,0.0,0.0,Propanoyl-CoA:carbon-dioxide ligase (ADP-forming)
EX_cpd11578_e,0.0,0.0,0.0,EX_cpd11578_e
rxn05092,0.0,0.0,0.0,"1,2-dihydroxy-5-(methylthio)pent-1-en-3-one:oxygen oxidoredu"
rxn01985,0.0,0.0,0.0,Deoxyinosine:orthophosphate ribosyltransferase
rxn02222,0.0,0.0,0.0,Indole-3-acetamide amidohydrolase
rxn01675,0.0,0.0,0.0,dTTP:alpha-D-glucose-1-phosphate thymidylyltransferase
rxn05252,0.0,0.0,0.0,FACOAL170(ISO)
rxn05691,0.0,0.0,0.0,L-Fucose transport in via proton symport
rxn00016,0.0,0.0,0.0,Hexosaminidase
rxn08707,0.0,0.0,0.0,Heme O synthase
rxn05536,0.0,0.0,0.0,Dipeptide transport via ABC system (met-ala)
rxn09012,0.0,0.0,0.0,nucleoside-triphosphatase (XTP)
rxn01945,0.0,0.0,0.0,"4-hydroxyphenylacetate,NADH:oxygen oxidoreductase (3-hydroxy"
rxn01133,0.0,0.0,0.0,Acetyl-CoA:maltose O-acetyltransferase
rxn05544,0.0,0.0,0.0,Dipeptide transport via ABC system (ala-leu)
rxn02916,0.0,0.0,0.0,6-Amino-2-oxohexanoate cyclation
rxn00775,0.0,0.0,0.0,ADPribose ribophosphohydrolase
EX_cpd00423_e,0.0,0.0,0.0,EX_cpd00423_e
