gene_id,growth_std,essential_std,growth_natto,essential_natto,growth_ratio,gene_name,n_reactions,reactions
SPONTANEOUS,1138.5715225615286,False,0.0,True,0.0,SPONTANEOUS,19,rxn00734;rxn05064;rxn05319;rxn02666;rxn04132;rxn05467;rxn05468;rxn04457
peg_DOT_2193,1229.6572443664509,False,0.0,True,0.0,peg.2193,3,rxn09889;rxn00898;rxn03437
peg_DOT_2266,1229.6572443664513,False,0.0,True,0.0,peg.2266,4,rxn00527;rxn01270;rxn00493;rxn02320
peg_DOT_2267,1229.6572443664509,False,0.0,True,0.0,peg.2267,3,rxn01964;rxn01682;rxn00474
peg_DOT_2268,1229.6572443664516,False,0.0,True,0.0,peg.2268,3,rxn01964;rxn01682;rxn00474
peg_DOT_2269,1229.6572443664509,False,1.619015276118699e-11,True,1.4245662625834025e-14,peg.2269,1,rxn02508
peg_DOT_2270,1229.657244366453,False,0.0,True,0.0,peg.2270,1,rxn02507
peg_DOT_2271,1229.657244366451,False,0.0,True,0.0,peg.2271,1,rxn00791
peg_DOT_2272,1229.6572443664506,False,0.0,True,0.0,peg.2272,2,rxn00726;rxn00727
peg_DOT_2343,1229.6572443664463,False,0.0,True,0.0,peg.2343,1,rxn00313
peg_DOT_2828,1229.6572443664488,False,0.0,True,0.0,peg.2828,2,rxn02789;rxn02811
peg_DOT_2829,1229.6572443664509,False,0.0,True,0.0,peg.2829,2,rxn02789;rxn02811
peg_DOT_2830,1229.6572443664509,False,0.0,True,0.0,peg.2830,1,rxn03062
peg_DOT_2831,1229.6572443664509,False,0.0,True,0.0,peg.2831,1,rxn00902
peg_DOT_2832,1229.6572443664513,False,0.0,True,0.0,peg.2832,5,rxn03436;rxn03068;rxn08764;rxn02186;rxn03435
peg_DOT_2833,1229.6572443664513,False,0.0,True,0.0,peg.2833,3,rxn03194;rxn00011;rxn02185
peg_DOT_2834,1229.6572443664509,False,-4.502198407001039e-13,True,-3.9614696986961573e-16,peg.2834,3,rxn03194;rxn00011;rxn02185
peg_DOT_2965,1229.6572443664513,False,0.0,True,0.0,peg.2965,1,rxn02160
peg_DOT_3492,1229.6572443664509,False,0.0,True,0.0,peg.3492,2,rxn02835;rxn02834
peg_DOT_3493,1229.6572443664516,False,0.0,True,0.0,peg.3493,1,rxn03135
peg_DOT_3494,1229.6572443664502,False,-4.3504586836049164e-12,True,-3.827954410834225e-15,peg.3494,1,rxn03175
peg_DOT_3495,1229.6572443664509,False,-2.7024572888768084e-12,True,-2.3778833569969707e-15,peg.3495,1,rxn03135
peg_DOT_3496,1229.6572443664488,False,0.0,True,0.0,peg.3496,1,rxn02473
peg_DOT_3497,1229.6572443664516,False,0.0,True,0.0,peg.3497,2,rxn02159;rxn00863
peg_DOT_3498,1229.6572443664488,False,0.0,True,0.0,peg.3498,1,rxn00789
peg_DOT_3499,1229.6572443664516,False,0.0,True,0.0,peg.3499,1,rxn00789
peg_DOT_653,1229.657244366451,False,0.0,True,0.0,peg.653,2,rxn00832;rxn03137
peg_DOT_75,1229.6572443664506,False,0.0,True,0.0,peg.75,3,rxn00726;rxn01257;rxn00727
