pathway,n_metabolites,mean_log2fc,mean_fc,n_natto_up,n_soy_up,dominant,pct_natto
Histidine metabolism,2,7.807209105006244,744.903,2,0,natto_up,1.0
Biotin metabolism,2,6.621425925524047,100.1065,2,0,natto_up,1.0
"Tropane, piperidine and pyridine alkaloid biosynthesis",5,6.37176047532123,84.37021999999999,5,0,natto_up,1.0
Lysine degradation,3,5.980582723329591,75.39506666666666,3,0,natto_up,1.0
Phenylalanine metabolism,2,5.9469553264311,62.052049999999994,2,0,natto_up,1.0
Lysine biosynthesis,3,5.618153662510586,70.81223333333334,3,0,natto_up,1.0
"Valine, leucine and isoleucine degradation",4,5.446009579378353,50.669050000000006,4,0,natto_up,1.0
Benzene and substituted derivatives,2,4.940219051849966,50.77485,2,0,natto_up,1.0
Glucosinolate biosynthesis,6,4.89836631727341,45.709900000000005,6,0,natto_up,1.0
2-Oxocarboxylic acid metabolism,12,4.8629426444081085,55.96245833333333,11,1,natto_up,0.9166666666666666
beta-Alanine metabolism,3,4.778961411494526,496.7395000000001,2,1,natto_up,0.6666666666666666
Biosynthesis of amino acids,22,4.6966928640616,103.14705909090911,22,0,natto_up,1.0
Aminoacyl-tRNA biosynthesis,18,4.593536382429239,114.46321666666667,18,0,natto_up,1.0
Cyanoamino acid metabolism,8,4.456910729741403,36.9968625,8,0,natto_up,1.0
Arginine and proline metabolism,3,4.41400969844877,42.50086666666667,3,0,natto_up,1.0
"Valine, leucine and isoleucine biosynthesis",8,4.313441956865345,39.2838875,7,1,natto_up,0.875
Biosynthesis of secondary metabolites - unclassified,2,4.264895070163949,50.7443,2,0,natto_up,1.0
Purine metabolism,5,3.98769046465909,34.06048,5,0,natto_up,1.0
ABC transporters,23,3.965305614569297,95.56279130434783,21,2,natto_up,0.9130434782608695
Porphyrin and chlorophyll metabolism,3,3.8884884397348127,16.142500000000002,3,0,natto_up,1.0
Glutathione metabolism,4,3.658631167599138,37.510975,3,1,natto_up,0.75
Biosynthesis of secondary metabolites - other antibiotics,3,3.487371977572664,35.10176666666667,3,0,natto_up,1.0
Arginine biosynthesis,3,3.4185051413701757,34.93353333333334,3,0,natto_up,1.0
Cysteine and methionine metabolism,3,3.226257259602061,11.243933333333333,3,0,natto_up,1.0
Pantothenate and CoA biosynthesis,3,3.2148559468352453,35.4304,2,1,natto_up,0.6666666666666666
Vancomycin resistance,4,3.171368831077009,12.815750000000001,4,0,natto_up,1.0
Phosphonate and phosphinate metabolism,2,2.965471516145395,14.1606,2,0,natto_up,1.0
"Glycine, serine and threonine metabolism",6,2.877306330337659,10.136516666666667,6,0,natto_up,1.0
Glyoxylate and dicarboxylate metabolism,3,2.777042845474296,11.010966666666667,3,0,natto_up,1.0
Sulfur metabolism,2,2.765512749764251,8.0032,2,0,natto_up,1.0
Amino acids & derivatives,3,2.628372536600509,10.5448,3,0,natto_up,1.0
Flavonoids,3,2.6008003068193215,6.605999999999999,3,0,natto_up,1.0
"Phenylalanine, tyrosine and tryptophan biosynthesis",6,2.5580399538113787,14.87645,6,0,natto_up,1.0
"Alanine, aspartate and glutamate metabolism",3,2.524869927497607,8.094733333333334,3,0,natto_up,1.0
Monobactam biosynthesis,3,2.4877837639728653,6.6077,3,0,natto_up,1.0
Carbon metabolism,4,2.3403429125384805,11.964500000000001,3,1,natto_up,0.75
Amino sugar and nucleotide sugar metabolism,3,2.177047011182791,10.569033333333334,2,1,natto_up,0.6666666666666666
Nucleotide and its derivates,2,1.985923780322047,143.716,1,1,natto_up,0.5
Tryptophan metabolism,5,1.8489941601538995,4.10192,5,0,natto_up,1.0
Monoterpenoids,2,0.9267470304191433,1.90245,2,0,natto_up,1.0
Pyrimidine metabolism,6,0.8681140130010716,4.866233333333333,4,2,natto_up,0.6666666666666666
Taurine and hypotaurine metabolism,3,0.8093478904306189,6.534366666666667,2,1,natto_up,0.6666666666666666
Galactose metabolism,4,-1.4258008311743628,3.889,1,3,soy_up,0.25
Cholines,2,-2.970865306793905,0.14615,0,2,soy_up,0.0
