biomass_frac,fc_threshold,n_constraints,RI_total,RI_Phenethylamine,RI_PAGln (proxy),RI_L-Arg (ADMA proxy)
0.5,2.0,39,6.1268,0.0,2.7935,3.3333
0.5,5.0,25,6.1972,0.0,2.8638,3.3333
0.5,10.0,21,8.2567,0.0,5.0,3.2567
0.75,2.0,39,5.6045,0.0,2.2712,3.3333
0.75,5.0,25,4.4708,0.0,1.1718,3.299
0.75,10.0,21,2.9058,0.0,-0.3543,3.2601
0.9,2.0,39,8.2602,0.0,5.0,3.2602
0.9,5.0,25,5.378,0.0,2.0892,3.2889
0.9,10.0,21,8.3333,0.0,5.0,3.3333
1.0,2.0,39,7.1096,0.0,3.7762,3.3333
1.0,5.0,25,8.3333,0.0,5.0,3.3333
1.0,10.0,21,3.967,0.0,0.6337,3.3333
